kanji,onyomi,kunyomi,meaning
懐%@,"kai, eカイ、 エ%@","futokoro, natsu(kashii), nazu(keru), ida(ku), omo(u)ふところ、 なつ(かしい)、 なず(ける)、 いだ(く)、 おも(う)%@","feelings, heart, yearn, miss someone, become attached to, bosom, breast, pocket%@"
勘%@,kanカン%@,%@,"intuition, perception, check, compare, sixth sense%@"
栽%@,saiサイ%@,%@,"plantation, planting%@"
拐%@,kaiカイ%@,%@,"kidnap, falsify%@"
笠%@,ryuuリュウ%@,kasaかさ%@,"bamboo hat, one's influence%@"
駄%@,"da, taダ、 タ%@",%@,"burdensome, pack horse, horse load, send by horse, trivial, worthless%@"
添%@,tenテン%@,"so(eru), so(u)そ(える)、 そ(う)%@","annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate%@"
冠%@,kanカン%@,kanmuriかんむり%@,"crown, best, peerless%@"
斜%@,shaシャ%@,"nana(me), hasuなな(め)、 はす%@","diagonal, slanting, oblique%@"
鏡%@,"kyou, keiキョウ、 ケイ%@",kagamiかがみ%@,"mirror, speculum, barrel-head, round rice-cake offering%@"
聡%@,souソウ%@,"sato(i), mimizato(i)さと(い)、 みみざと(い)%@","wise, fast learner%@"
浪%@,rouロウ%@,%@,"wandering, waves, billows, reckless, unrestrained%@"
亜%@,aア%@,tsu(gu)つ(ぐ)%@,"Asia, rank next, come after, -ous%@"
覧%@,ranラン%@,mi(ru)み(る)%@,"perusal, see%@"
詐%@,saサ%@,itsuwa(ru)いつわ(る)%@,"lie, falsehood, deceive, pretend%@"
壇%@,"dan, tanダン、 タン%@",%@,"podium, stage, rostrum, terrace%@"
勲%@,kunクン%@,isaoいさお%@,"meritorious deed, merit%@"
魔%@,maマ%@,%@,"witch, demon, evil spirit%@"
酬%@,"shuu, shu, touシュウ、 シュ、 トウ%@",muku(iru)むく(いる)%@,"repay, reward, retribution%@"
紫%@,shiシ%@,murasakiむらさき%@,"purple, violet%@"
曙%@,shoショ%@,akebonoあけぼの%@,"dawn, daybreak%@"
紋%@,monモン%@,%@,"family crest, figures%@"
卸%@,shaシャ%@,"oro(su), oroshiおろ(す)、 おろし%@",wholesale%@
奮%@,funフン%@,furu(u)ふる(う)%@,"stirred up, be invigorated, flourish%@"
趙%@,"chou, jou, kyouチョウ、 ジョウ、 キョウ%@",%@,"nimble, late-going%@"
欄%@,ranラン%@,tesuriてすり%@,"column, handrail, blank, space%@"
逸%@,itsuイツ%@,"so(reru), hagu(reru)そ(れる)、 はぐ(れる)%@","deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge%@"
涯%@,gaiガイ%@,hateはて%@,"horizon, shore, limit, bound%@"
拓%@,takuタク%@,hira(ku)ひら(く)%@,"clear (the land), open, break up (land)%@"
眼%@,"gan, genガン、 ゲン%@","manako, meまなこ、 め%@",eyeball%@
獄%@,gokuゴク%@,%@,"prison, jail%@"
筑%@,chikuチク%@,%@,an ancient musical instrument%@
尚%@,shouショウ%@,naoなお%@,"esteem, furthermore, still, yet%@"
阜%@,"fu, fuuフ、 フウ%@",%@,"hill, mound, left village radical (no. 170)%@"
彫%@,chouチョウ%@,"ho(ru), -bo(ri)ほ(る)、 -ぼ(り)%@","carve, engrave, chisel%@"
穏%@,onオン%@,oda(yaka)おだ(やか)%@,"calm, quiet, moderation%@"
顕%@,kunケン%@,"akiraka, arawa(reru)あきらか、 あらわ(れる)%@","appear, existing%@"
巧%@,kouコウ%@,"taku(mi), uma(i)たく(み)、 うま(い)%@","adroit, skilled, ingenuity%@"
矛%@,"mu, bouム、 ボウ%@",hokoほこ%@,"halberd, arms, festival float%@"
垣%@,enエン%@,kakiかき%@,"hedge, fence, wall%@"
欺%@,giギ%@,azamu(ku)あざむ(く)%@,"deceit, cheat, delude%@"
釣%@,chouチョウ%@,tsu(ru)つ(る)%@,"angling, fish, catch, allure, ensnare%@"
萩%@,shuuシュウ%@,hagiはぎ%@,bush clover%@
粧%@,shouショウ%@,%@,"cosmetics, adorn (one's person)%@"
葛%@,"katsu, kachiカツ、 カチ%@","tsudzura, kuzuつづら、 くず%@","arrowroot, kudzu%@"
粛%@,"shuku, sukuシュク、 スク%@",tsutsushi(mu)つつし(む)%@,"solemn, quietly, softly%@"
栗%@,"ritsu, riリツ、 リ%@","kuri, ononokuくり、 おののく%@",chestnut%@
愚%@,guグ%@,oro(ka)おろ(か)%@,"foolish, folly, absurdity, stupid%@"
嘉%@,kaカ%@,"yomi(suru), yoiよみ(する)、 よい%@","applaud, praise, esteem, happy, auspicious%@"
遭%@,souソウ%@,"a(u), a(waseru)あ(う)、 あ(わせる)%@","encounter, meet, party, association, interview, join%@"
架%@,kaカ%@,ka(keru)か(ける)%@,"erect, frame, mount, support, shelf, construct%@"
篠%@,"zou, shouゾウ、 ショウ%@","shino, sasa, suzuしの、 ささ、 すず%@",bamboo grass%@
鬼%@,kiキ%@,oniおに%@,"ghost, devil%@"
庶%@,shoショ%@,%@,"commoner, all, bastard%@"
稚%@,"chi, jiチ、 ジ%@","itokenai, osanai, okute, oderuいとけない、 おさない、 おくて、 おでる%@","immature, young%@"
菅%@,"kan, kenカン、 ケン%@",sugeすげ%@,sedge%@
滋%@,"ji, shiジ、 シ%@",%@,"nourishing, more & more, be luxuriant, planting, turbidity%@"
幻%@,genゲン%@,maboroshiまぼろし%@,"phantasm, vision, dream, illusion, apparition%@"
煮%@,shaシャ%@,"ni(ru), -niに(る)、 -に%@","boil, cook%@"
姫%@,kiキ%@,"hime, hime-ひめ、 ひめ-%@",princess%@
誓%@,seiセイ%@,chika(u)ちか(う)%@,"vow, swear, pledge%@"
把%@,"ha, waハ、 ワ%@",%@,"grasp, faggot, bunch, counter for bundles%@"
践%@,senセン%@,fu(mu)ふ(む)%@,"tread, step on, trample, practice, carry through%@"
呈%@,teiテイ%@,%@,"display, offer, present, send, exhibit%@"
疎%@,"so, shoソ、 ショ%@","uto(i), maba(ra)うと(い)、 まば(ら)%@","alienate, rough, neglect, shun, sparse, penetrate%@"
仰%@,"gyou, kouギョウ、 コウ%@","oo(gu), o(ssharu)あお(ぐ)、 お(っしゃる)%@","face-up, look up, depend, seek, respect, revere, drink, take%@"
剛%@,gouゴウ%@,%@,"sturdy, strength%@"
疾%@,shitsuシツ%@,haya(i)はや(い)%@,rapidly%@
征%@,seiセイ%@,%@,"subjugate, attack the rebellious, collect taxes%@"
砕%@,saiサイ%@,kuda(ku)くだ(く)%@,"smash, break, crush, familiar, popular%@"
謡%@,youヨウ%@,uta(i)うた(い)%@,"song, sing, ballad, noh chanting%@"
嫁%@,kaカ%@,"yome, totsu(gu), i(ku), yu(ku)よめ、 とつ(ぐ)、 い(く)、 ゆ(く)%@","marry into, bride%@"
謙%@,kenケン%@,herikuda(ru)へりくだ(る)%@,"self-effacing, humble oneself, condescend, be modest%@"
后%@,"kou, goコウ、 ゴ%@",kisakiきさき%@,"empress, queen, after, behind, back, later%@"
嘆%@,tanタン%@,"nage(ku), nage(kawashii)なげ(く)、 なげ(かわしい)%@","sigh, lament, moan, grieve, sigh of admiration%@"
俣%@,mataまた%@,%@,"crotch, thigh, groin, fork, junction, (kokuji)%@"
菌%@,kinキン%@,%@,"germ, fungus, bacteria%@"
鎌%@,"ren, kenレン、 ケン%@",kamaかま%@,"sickle, scythe, trick%@"
巣%@,souソウ%@,"su, su(kuu)す、 す(くう)%@","nest, rookery, hive, cobweb, den%@"
頻%@,hinヒン%@,shiki(rini)しき(りに)%@,"repeatedly, recur%@"
琴%@,"kin, gonキン、 ゴン%@",kotoこと%@,"harp, koto%@"
班%@,hanハン%@,%@,"squad, corps, unit, group%@"
淵%@,"en, kaku, kouエン、 カク、 コウ%@","fuchi, kata(i), hanawaふち、 かた(い)、 はなわ%@","abyss, edge, deep pool, the depths%@"
棚%@,houホウ%@,"tana, -danaたな、 -だな%@","shelf, ledge, rack, mount, mantle, trellis%@"
潔%@,ketsuケツ%@,isagiyo(i)いさぎよ(い)%@,"undefiled, pure, clean, righteous, gallant%@"
酷%@,kokuコク%@,hido(i)ひど(い)%@,"cruel, severe, atrocious, unjust%@"
宰%@,saiサイ%@,%@,"superintend, manager, rule%@"
廊%@,rouロウ%@,%@,"corridor, hall, tower%@"
寂%@,"jaku, sekiジャク、 セキ%@","sabi, sabi(shii), sami(shii)さび、 さび(しい)、 さみ(しい)%@","loneliness, quietly, mellow, mature, death of a priest%@"
辰%@,"shin, jinシン、 ジン%@",tatsuたつ%@,"sign of the dragon, 7-9AM, fifth sign of Chinese zodiac, shin dragon radical (no. 161)%@"
霞%@,"ka, geカ、 ゲ%@","kasumi, kasu(mu)かすみ、 かす(む)%@","be hazy, grow dim, blurred%@"
伏%@,fukuフク%@,"fu(seru), fu(su)ふ(せる)、 ふ(す)%@","prostrated, bend down, bow, cover, lay (pipes)%@"
柏%@,"haku, hyaku, byakuハク、 ヒャク、 ビャク%@",kashiwaかしわ%@,"oak, cypress%@"
碁%@,goゴ%@,%@,Go%@
俗%@,zokuゾク%@,%@,"vulgar, customs, manners, worldliness, mundane things%@"
漠%@,bakuバク%@,%@,"vague, obscure, desert, wide%@"
邪%@,jaジャ%@,yokoshi(ma)よこし(ま)%@,"wicked, injustice, wrong%@"
晶%@,shouショウ%@,%@,"sparkle, clear, crystal%@"
辻%@,%@,tsujiつじ%@,"crossing, crossroad, street corners, (kokuji)%@"
墨%@,bokuボク%@,sumiすみ%@,"black ink, India ink, ink stick, Mexico%@"
鎮%@,chinチン%@,"shizu(meru), osaeしず(める)、 おさえ%@","tranquilize, ancient peace-preservation centers%@"
洞%@,douドウ%@,horaほら%@,"den, cave, excavation%@"
履%@,riリ%@,ha(ku)は(く)%@,"perform, complete, footgear, shoes, boots, put on (the feet)%@"
劣%@,retsuレツ%@,oto(ru)おと(る)%@,"inferiority, be inferior to, be worse%@"
那%@,"na, daナ、 ダ%@","nani, nanzo, ikanなに、 なんぞ、 いかん%@",what?%@
殴%@,ouオウ%@,nagu(ru)なぐ(る)%@,"assault, hit, beat, thrash%@"
娠%@,shinシン%@,%@,"with child, pregnancy%@"
奉%@,"hou, buホウ、 ブ%@","tatematsu(ru), matsu(ru), hou(zuru)たてまつ(る)、 まつ(る)、 ほう(ずる)%@","observance, offer, present, dedicate%@"
憂%@,yuuユウ%@,"ure(eru), ure(i), u(i), u(ki)うれ(える)、 うれ(い)、 う(い)、 う(き)%@","melancholy, grieve, lament, be anxious, sad, unhappy%@"
朴%@,bokuボク%@,"hou, hoo, enokiほう、 ほお、 えのき%@","crude, simple, plain, docile%@"
亭%@,"tei, chinテイ、 チン%@",%@,"pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name%@"
淳%@,"jun, shunジュン、 シュン%@",atsu(i)あつ(い)%@,pure%@
荻%@,tekiテキ%@,ogiおぎ%@,"reed, rush%@"
嶋%@,touトウ%@,shimaしま%@,island%@
怪%@,"kai, keカイ、 ケ%@","aya(shii), aya(shimu)あや(しい)、 あや(しむ)%@","suspicious, mystery, apparition%@"
鳩%@,"kyuu, kuキュウ、 ク%@","hato, atsu(meru)はと、 あつ(める)%@","pigeon, dove%@"
柴%@,"sai, shiサイ、 シ%@",shibaしば%@,"brush, firewood%@"
酔%@,suiスイ%@,"yo(u), yo(i), yoよ(う)、 よ(い)、 よ%@","drunk, feel sick, poisoned, elated, spellbound%@"
惜%@,sekiセキ%@,"o(shii), o(shimu)お(しい)、 お(しむ)%@","pity, be sparing of, frugal, stingy, regret%@"
穫%@,kakuカク%@,%@,"harvest, reap%@"
佳%@,kaカ%@,%@,"excellent, beautiful, good, pleasing, skilled%@"
潤%@,junジュン%@,"uruo(u), uru(mu)うるお(う)、 うる(む)%@","wet, be watered, profit by, receive benefits, favor, charm, steep%@"
悼%@,touトウ%@,ita(mu)いた(む)%@,"lament, grieve over%@"
乏%@,bouボウ%@,"tobo(shii), tomo(shii)とぼ(しい)、 とも(しい)%@","destitution, scarce, limited%@"
該%@,gaiガイ%@,%@,"above-stated, the said, that specific%@"
赴%@,fuフ%@,omomu(ku)おもむ(く)%@,"proceed, get, become, tend%@"
桑%@,souソウ%@,kuwaくわ%@,mulberry%@
桂%@,keiケイ%@,katsuraかつら%@,"Japanese Judas-tree, cinnamon tree%@"
髄%@,zuiズイ%@,%@,"marrow, pith, essence%@"
虎%@,koコ%@,toraとら%@,"tiger, drunkard%@"
盆%@,bonボン%@,%@,"basin, lantern festival, tray%@"
晋%@,shinシン%@,susu(mu)すす(む)%@,advance%@
穂%@,suiスイ%@,hoほ%@,"ear, ear (grain), head, crest (wave)%@"
壮%@,souソウ%@,sakanさかん%@,"robust, manhood, prosperity%@"
堤%@,teiテイ%@,tsutsumiつつみ%@,"dike, bank, embankment%@"
飢%@,kiキ%@,u(eru)う(える)%@,"hungry, starve%@"
傍%@,bouボウ%@,"katawa(ra), waki, oka-, hata, sobaかたわ(ら)、 わき、 おか-、 はた、 そば%@","bystander, side, besides, while, nearby, third person%@"
疫%@,"eki, yakuエキ、 ヤク%@",%@,epidemic%@
累%@,ruiルイ%@,%@,"accumulate, involvement, trouble, tie up, continually%@"
痴%@,chiチ%@,"shi(reru), orokaし(れる)、 おろか%@","stupid, foolish%@"
搬%@,hanハン%@,%@,"conveyor, carry, transport%@"
晃%@,kouコウ%@,akirakaあきらか%@,clear%@
癒%@,yuユ%@,"i(eru), iya(su)い(える)、 いや(す)%@","healing, cure, quench (thirst), wreak%@"
桐%@,"tou, douトウ、 ドウ%@",kiriきり%@,paulownia%@
寸%@,sunスン%@,%@,"measurement, tenth of a shaku, a little, small%@"
郭%@,kakuカク%@,kuruwaくるわ%@,"enclosure, quarters, fortification, red-light district%@"
尿%@,nyouニョウ%@,"yubari, ibari, shitoゆばり、 いばり、 しと%@",urine%@
凶%@,kyouキョウ%@,%@,"villain, evil, bad luck, disaster%@"
吐%@,toト%@,"ha(ku), tsu(ku)は(く)、 つ(く)%@","spit, vomit, belch, confess, tell (lies)%@"
宴%@,enエン%@,utageうたげ%@,"banquet, feast, party%@"
鷹%@,"you, ouヨウ、 オウ%@",takaたか%@,hawk%@
賓%@,hinヒン%@,"maroudo, shitagauまろうど、 したがう%@","V.I.P., guest%@"
虜%@,"ryo, roリョ、 ロ%@","toriko, torikuとりこ、 とりく%@","captive, barbarian, low epithet for the enemy%@"
陶%@,touトウ%@,sueすえ%@,"pottery, porcelain%@"
鐘%@,shouショウ%@,kaneかね%@,"bell, gong, chimes%@"
憾%@,kanカン%@,ura(mu)うら(む)%@,"remorse, regret, be sorry%@"
畿%@,kiキ%@,miyakoみやこ%@,"capital, suburbs of capital%@"
猪%@,choチョ%@,"i, inoshishiい、 いのしし%@",boar%@
紘%@,kouコウ%@,"oodzuna, tsuna, tsunaguおおづな、 つな、 つなぐ%@",large%@
磁%@,jiジ%@,%@,"magnet, porcelain%@"
弥%@,"mi, biミ、 ビ%@","ya, iya, iyo(iyo), wata(ru)や、 いや、 いよ(いよ)、 わた(る)%@","all the more, increasingly%@"
昆%@,konコン%@,%@,"descendants, elder brother, insect%@"
粗%@,soソ%@,"ara(i), ara-あら(い)、 あら-%@","coarse, rough, rugged%@"
訂%@,teiテイ%@,tada(su)ただ(す)%@,"revise, correct, decide%@"
芽%@,gaガ%@,meめ%@,"bud, sprout, spear, germ%@"
尻%@,kouコウ%@,shiriしり%@,"buttocks, hips, butt, rear%@"
庄%@,"shou, so, sou, houショウ、 ソ、 ソウ、 ホウ%@",%@,"level, in the country, manor, village, hamlet%@"
傘%@,sanサン%@,kasaかさ%@,umbrella%@
敦%@,"ton, tai, dan, chouトン、 タイ、 ダン、 チョウ%@",atsu(i)あつ(い)%@,"industry, kindliness%@"
騎%@,kiキ%@,%@,"equestrian, riding on horses, counter for equestrians%@"
寧%@,neiネイ%@,mushi(ro)むし(ろ)%@,"rather, preferably, peaceful, quiet, tranquility%@"
循%@,junジュン%@,%@,"sequential, follow%@"
忍%@,ninニン%@,"shino(bu), shino(baseru)しの(ぶ)、 しの(ばせる)%@","endure, bear, put up with, conceal, secrete, spy, sneak%@"
磐%@,"ban, hanバン、 ハン%@",iwaいわ%@,"rock, crag, cliff, wall (in a mine)%@"
怠%@,taiタイ%@,"okota(ru), nama(keru)おこた(る)、 なま(ける)%@","neglect, laziness%@"
如%@,"jo, nyoジョ、 ニョ%@",goto(shi)ごと(し)%@,"likeness, like, such as, as if, better, best, equal%@"
寮%@,ryouリョウ%@,%@,"dormitory, hostel, villa, tea pavillion%@"
祐%@,"yuu, uユウ、 ウ%@",tasu(keru)たす(ける)%@,help%@
鵬%@,houホウ%@,ootoriおおとり%@,phoenix%@
鉛%@,enエン%@,namariなまり%@,lead%@
珠%@,shuシュ%@,tamaたま%@,"pearl, gem, jewel%@"
凝%@,gyouギョウ%@,"ko(ru), kogo(rasu)こ(る)、 こご(らす)%@","congeal, freeze, stiff, be absorbed in%@"
苗%@,"byou, myouビョウ、 ミョウ%@","nae, nawa-なえ、 なわ-%@","seedling, sapling, shoot%@"
獣%@,juuジュウ%@,"kemono, kedamonoけもの、 けだもの%@","animal, beast%@"
哀%@,aiアイ%@,"awa(re), kana(shii)あわ(れ)、 かな(しい)%@","pathetic, grief, sorrow, pathos, pity, sympathize%@"
跳%@,chouチョウ%@,"ha(neru), to(bu), -to(bi)は(ねる)、 と(ぶ)、 -と(び)%@","hop, leap up, spring, jerk, prance, buck, splash, sputter, snap%@"
匠%@,shouショウ%@,takumiたくみ%@,"artisan, workman, carpenter%@"
垂%@,suiスイ%@,"ta(reru), -ta(re), nannanto(su)た(れる)、 -た(れ)、 なんなんと(す)%@","droop, suspend, hang, slouch%@"
蛇%@,"ja, da, i, yaジャ、 ダ、 イ、 ヤ%@",hebiへび%@,"snake, serpent, hard drinker%@"
澄%@,chouチョウ%@,"su(mu), su(masu), -su(masu)す(む)、 す(ます)、 -す(ます)%@","lucidity, be clear, clear, clarify, settle, strain, look grave%@"
縫%@,houホウ%@,nu(u)ぬ(う)%@,"sew, stitch, embroider%@"
僧%@,souソウ%@,%@,"Buddhist priest, monk%@"
眺%@,chouチョウ%@,naga(meru)なが(める)%@,"stare, watch, look at, see, scrutinize%@"
唐%@,touトウ%@,karaから%@,"T'ang, China, foreign%@"
亘%@,"kou, kan, senコウ、 カン、 セン%@","wata(ru), moto(meru)わた(る)、 もと(める)%@","span, range, extend over%@"
呉%@,goゴ%@,ku(reru)く(れる)%@,"give, do something for, kingdom of Wu%@"
凡%@,"bon, hanボン、 ハン%@","oyo(so), ouyo(so), sube(te)およ(そ)、 おうよ(そ)、 すべ(て)%@","commonplace, ordinary, mediocre%@"
憩%@,keiケイ%@,"iko(i), iko(u)いこ(い)、 いこ(う)%@","recess, rest, relax, repose%@"
鄭%@,"tei, jouテイ、 ジョウ%@",%@,an ancient Chinese province%@
芦%@,roロ%@,"ashi, yoshiあし、 よし%@","reed, bullrush%@"
龍%@,"ryuu, ryou, rouリュウ、 リョウ、 ロウ%@",tatsuたつ%@,"dragon, imperial%@"
媛%@,enエン%@,himeひめ%@,"beautiful woman, princess%@"
溝%@,kouコウ%@,mizoみぞ%@,"gutter, ditch, sewer, drain, 10**32%@"
恭%@,kyouキョウ%@,uyauya(shii)うやうや(しい)%@,"respect, reverent%@"
刈%@,"gai, kaiガイ、 カイ%@",ka(ru)か(る)%@,"reap, cut, clip, trim, prune%@"
睡%@,suiスイ%@,"nemu(ru), nemu(i)ねむ(る)、 ねむ(い)%@","drowsy, sleep, die%@"
錯%@,"saku, shakuサク、 シャク%@",%@,"confused, mix, be in disorder%@"
伯%@,hakuハク%@,%@,"chief, count, earl, uncle, Brazil%@"
笹%@,%@,sasaささ%@,"bamboo grass, (kokuji)%@"
穀%@,kokuコク%@,%@,"cereals, grain%@"
柿%@,shiシ%@,kakiかき%@,persimmon%@
陵%@,ryouリョウ%@,misasagiみささぎ%@,"mausoleum, imperial tomb, mound, hill%@"
霧%@,"mu, bou, buム、 ボウ、 ブ%@",kiriきり%@,"fog, mist%@"
魂%@,konコン%@,"tamashii, tamaたましい、 たま%@","soul, spirit%@"
弊%@,heiヘイ%@,%@,"abuse, evil, vice, breakage%@"
釧%@,senセン%@,"kushiro, udewaくしろ、 うでわ%@",bracelet%@
妃%@,hiヒ%@,kisakiきさき%@,"queen, princess%@"
舶%@,hakuハク%@,%@,"liner, ship%@"
餓%@,gaガ%@,u(eru)う(える)%@,"starve, hungry, thirst%@"
腎%@,jinジン%@,%@,kidney%@
窮%@,"kyuu, kyouキュウ、 キョウ%@",kiwa(meru)きわ(める)%@,"hard up, destitute, suffer, perplexed, cornered%@"
掌%@,shouショウ%@,"tenohira, tanagokoroてのひら、 たなごころ%@","manipulate, rule, administer, conduct, palm of hand%@"
麗%@,reiレイ%@,"uruwa(shii), ura(raka)うるわ(しい)、 うら(らか)%@","lovely, beautiful, graceful, resplendent%@"
綾%@,rinリン%@,ayaあや%@,"design, figured cloth, twill%@"
臭%@,shuuシュウ%@,"kusa(i), -kusa(i), nio(u)くさ(い)、 -くさ(い)、 にお(う)%@","stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant%@"
釜%@,fuフ%@,kamaかま%@,"kettle, cauldron, iron pot%@"
悦%@,etsuエツ%@,yoroko(bu)よろこ(ぶ)%@,"ecstasy, joy, rapture%@"
刃%@,"jin, ninジン、 ニン%@","ha, yaiba, ki(ru)は、 やいば、 き(る)%@","blade, sword, edge%@"
縛%@,bakuバク%@,shiba(ru)しば(る)%@,"truss, arrest, bind, tie, restrain%@"
暦%@,"reki, ryakuレキ、 リャク%@",koyomiこよみ%@,"calendar, almanac%@"
宜%@,giギ%@,yoro(shii)よろ(しい)%@,"best regards, good%@"
盲%@,mouモウ%@,mekuraめくら%@,"blind, blind man, ignoramus%@"
粋%@,suiスイ%@,ikiいき%@,"chic, style, purity, essence, pith, cream, elite, choice%@"
辱%@,jokuジョク%@,hazukashi(meru)はずかし(める)%@,"embarrass, humiliate, shame%@"
毅%@,"ki, giキ、 ギ%@",tsuyo(i)つよ(い)%@,strong%@
轄%@,katsuカツ%@,kusabiくさび%@,"control, wedge%@"
猿%@,enエン%@,saruさる%@,monkey%@
弦%@,genゲン%@,tsuruつる%@,"bowstring, chord, hypotenuse%@"
嶌%@,touトウ%@,shimaしま%@,island%@
稔%@,"nen, jin, ninネン、 ジン、 ニン%@","mino(ru), minoriみの(る)、 みのり%@","harvest, ripen%@"
窒%@,chitsuチツ%@,%@,"plug up, obstruct%@"
炊%@,suiスイ%@,"ta(ku), -da(ki)た(く)、 -だ(き)%@","cook, boil%@"
洪%@,kouコウ%@,%@,"deluge, flood, vast%@"
摂%@,"setsu, shouセツ、 ショウ%@","osa(meru), kane(ru), to(ru)おさ(める)、 かね(る)、 と(る)%@","vicarious, surrogate, act in addition to, take in, absorb%@"
飽%@,houホウ%@,"a(kiru), a(kasu), a(ku)あ(きる)、 あ(かす)、 あ(く)%@","sated, tired of, bored, satiate%@"
函%@,kanカン%@,"hako, i(reru)はこ、 い(れる)%@",box (archaic)%@
冗%@,jouジョウ%@,%@,"superfluous, uselessness%@"
桃%@,touトウ%@,momoもも%@,peach%@
狩%@,shuシュ%@,"ka(ru), ka(ri), -ga(ri)か(る)、 か(り)、 -が(り)%@","hunt, raid, gather%@"
朱%@,shuシュ%@,akeあけ%@,"vermilion, cinnabar, scarlet, red, bloody%@"
渦%@,kaカ%@,uzuうず%@,"whirlpool, eddy, vortex%@"
紳%@,shinシン%@,%@,"sire, good belt, gentleman%@"
枢%@,"suu, shuスウ、 シュ%@","toboso, karakuriとぼそ、 からくり%@","hinge, pivot, door, center of things%@"
碑%@,hiヒ%@,ishibumiいしぶみ%@,"tombstone, monument%@"
鍛%@,tanタン%@,kita(eru)きた(える)%@,"forge, discipline, train%@"
刀%@,touトウ%@,"katana, soriかたな、 そり%@","sword, saber, knife%@"
鼓%@,koコ%@,tsudzumiつづみ%@,"drum, beat, rouse, muster%@"
裸%@,raラ%@,hadakaはだか%@,"naked, nude, uncovered, partially clothed%@"
鴨%@,ouオウ%@,"kamo, ahiruかも、 あひる%@","wild duck, easy mark%@"
猶%@,"yuu, yuユウ、 ユ%@",naoなお%@,"furthermore, still, yet%@"
塊%@,"kai, keカイ、 ケ%@","katamari, tsuchikureかたまり、 つちくれ%@","clod, lump, chunk, clot, mass%@"
旋%@,senセン%@,"mu(guru), ibariめ(ぐる)、 いばり%@","rotation, go around%@"
弓%@,kyuuキュウ%@,yumiゆみ%@,"bow, bow (archery, violin)%@"
幣%@,heiヘイ%@,nusaぬさ%@,"cash, bad habit, humble prefix, gift%@"
膜%@,makuマク%@,%@,membrane%@
扇%@,senセン%@,ougiおうぎ%@,"fan, folding fan%@"
脇%@,kyouキョウ%@,"waki, wakeわき、 わけ%@","armpit, the other way, another place, flank, supporting role%@"
腸%@,chouチョウ%@,"harawata, wataはらわた、 わた%@","intestines, guts, bowels, viscera%@"
槽%@,souソウ%@,funeふね%@,"vat, tub, tank%@"
鍋%@,kaカ%@,nabeなべ%@,"pot, pan, kettle%@"
慈%@,jiジ%@,itsuku(shimu)いつく(しむ)%@,mercy%@
樋%@,touトウ%@,"hi, toiひ、 とい%@","water pipe, gutter, downspout, conduit%@"
楊%@,youヨウ%@,yanagiやなぎ%@,willow%@
伐%@,"batsu, hatsu, ka, bochiバツ、 ハツ、 カ、 ボチ%@","ki(ru), somu(ku), u(tsu)き(る)、 そむ(く)、 う(つ)%@","fell, strike, attack, punish%@"
駿%@,"shun, sunシュン、 スン%@",sugu(reru)すぐ(れる)%@,"a good horse, speed, a fast person%@"
漬%@,shiシ%@,"tsu(keru), -dzukeつ(ける)、  -づけ%@","pickling, soak, moisten, steep%@"
糾%@,kyuuキュウ%@,tada(su)ただ(す)%@,"twist, ask, investigate, verify%@"
亮%@,ryouリョウ%@,akirakaあきらか%@,"clear, help%@"
墳%@,funフン%@,%@,"tomb, mound%@"
坪%@,heiヘイ%@,tsuboつぼ%@,"two-mat area, approx. thirty-six sq ft%@"
紺%@,konコン%@,%@,"dark blue, navy%@"
慌%@,kouコウ%@,"awa(teru), awa(tadashii)あわ(てる)、 あわ(ただしい)%@","disconcerted, be confused, lose one's head%@"
娯%@,goゴ%@,%@,"recreation, pleasure%@"
吾%@,goゴ%@,"ware, waga-, a-われ、 わが-、 あ-%@","I, my, our, one's own%@"
椿%@,"chin, chunチン、 チュン%@",tsubakiつばき%@,camellia%@
舌%@,zetsuゼツ%@,shitaした%@,"tongue, reed, clapper%@"
羅%@,raラ%@,usumonoうすもの%@,"gauze, thin silk, Rome, arrange, spread out%@"
峡%@,"kyou, kouキョウ、 コウ%@",hazamaはざま%@,"gorge, ravine%@"
俸%@,houホウ%@,%@,"stipend, salary%@"
厘%@,rinリン%@,%@,"rin, 1/10 sen, 1/10 bu%@"
峰%@,houホウ%@,"mine, neみね、 ね%@","summit, peak%@"
圭%@,"kei, keケイ、 ケ%@",%@,"square jewel, corner, angle, edge%@"
醸%@,jouジョウ%@,kamo(su)かも(す)%@,"brew, cause%@"
蓮%@,renレン%@,"hasu, hachisuはす、 はちす%@",lotus%@
弔%@,chouチョウ%@,"tomura(u), tobura(u)とむら(う)、 とぶら(う)%@","condolences, mourning, funeral%@"
乙%@,"otsu, itsuオツ、 イツ%@","oto-, kinotoおと-、 きのと%@","the latter, duplicate, strange, witty, fishhook radical (no. 5)%@"
倶%@,"gu, kuグ、 ク%@",tomo(ni)とも(に)%@,"both, together, alike%@"
汁%@,juuジュウ%@,"shiru, -shiru, tsuyuしる、 -しる、 つゆ%@","soup, juice, broth, sap, gravy, pus%@"
尼%@,niニ%@,amaあま%@,nun%@
遍%@,henヘン%@,amane(ku)あまね(く)%@,"everywhere, times, widely, generally%@"
堺%@,kaiカイ%@,sakaiさかい%@,world%@
